Time;Long;Lat;Height;H2S;SO2
31/10/2017 17:28:45;-61.6624400;16.0435900;1.8;-1.516018;0.910149241914041
31/10/2017 17:28:47;-61.6624400;16.0435900;1.8;-1.544649;0.579596859752201
31/10/2017 17:28:49;-61.6624400;16.0435900;1.8;-1.518957;0.159007069771178
31/10/2017 17:28:51;-61.6624400;16.0435900;1.8;-1.485872;0.526371342712082
31/10/2017 17:28:53;-61.6624300;16.0435900;1.8;-1.486023;0.366414567804895
31/10/2017 17:28:55;-61.6624400;16.0435900;1.8;-1.468857;0.024611495318823
31/10/2017 17:28:57;-61.6624400;16.0435900;1.8;-1.466364;0.359622791060247
31/10/2017 17:28:59;-61.6624300;16.0435900;1.8;-1.47547;0.070502784219571
31/10/2017 17:29:01;-61.6624300;16.0435900;1.8;-1.475725;0.134110213373788
31/10/2017 17:29:03;-61.6624400;16.0435900;1.8;-1.468119;0.773014593753032
31/10/2017 17:29:05;-61.6624300;16.0435900;1.8;-1.466005;0.912904526921921
31/10/2017 17:29:07;-61.6624300;16.0435900;1.8;-1.463015;0.966614015051164
31/10/2017 17:29:09;-61.6624300;16.0435900;1.8;-1.47143;0.438876956584863
31/10/2017 17:29:11;-61.6624300;16.0435900;1.8;-1.476257;0.415968106244691
31/10/2017 17:29:13;-61.6624300;16.0435900;1.8;-1.467344;0.39677927212324
31/10/2017 17:29:15;-61.6624300;16.0435900;1.8;-1.473295;0.751212984672748
31/10/2017 17:29:17;-61.6624300;16.0435900;1.8;-1.474951;0.86397542420309
31/10/2017 17:29:19;-61.6624300;16.0435800;1.8;-1.487444;0.667237377609126
31/10/2017 17:29:21;-61.6624300;16.0435800;1.8;-1.474529;0.878491934970953
31/10/2017 17:29:23;-61.6624300;16.0435800;1.8;-1.448181;0.002151225344278
31/10/2017 17:29:25;-61.6624300;16.0435800;1.8;-1.454138;0.659900318481959
31/10/2017 17:29:27;-61.6624300;16.0435800;1.8;-1.437912;0.514902529423125
31/10/2017 17:29:29;-61.6624300;16.0435800;1.8;-1.433714;0.246861654683016
31/10/2017 17:29:31;-61.6624300;16.0435800;1.8;-1.440542;0.484266034211032
31/10/2017 17:29:33;-61.6624300;16.0435800;1.8;-1.445192;0.486853954964317
31/10/2017 17:29:35;-61.6624300;16.0435800;1.8;-1.430317;0.398259166278876
31/10/2017 17:29:37;-61.6624300;16.0435800;1.8;-1.415222;0.148807356948964
31/10/2017 17:29:39;-61.6624300;16.0435800;1.8;-1.385654;0.622535307775252
31/10/2017 17:29:41;-61.6624300;16.0435800;1.8;-1.378983;0.132198955514468
31/10/2017 17:29:43;-61.6624300;16.0435800;1.8;-1.387234;0.761982200783677
